filename,url,date,asn,country
2021013102_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210131/02/IR/urlgetter/2021013102_IR_urlgetter.n0.0.jsonl.gz,2021-01-31,AS62442,IR
2021013110_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210131/10/IR/urlgetter/2021013110_IR_urlgetter.n0.0.jsonl.gz,2021-01-31,AS62442,IR
2021013111_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210131/11/IR/urlgetter/2021013111_IR_urlgetter.n0.0.jsonl.gz,2021-01-31,AS62442,IR
2021013119_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210131/19/IR/urlgetter/2021013119_IR_urlgetter.n0.0.jsonl.gz,2021-01-31,AS62442,IR
2021013120_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210131/20/IR/urlgetter/2021013120_IR_urlgetter.n0.0.jsonl.gz,2021-01-31,AS62442,IR
2021020104_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210201/04/IR/urlgetter/2021020104_IR_urlgetter.n0.0.jsonl.gz,2021-02-01,AS62442,IR
2021020105_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210201/05/IR/urlgetter/2021020105_IR_urlgetter.n0.0.jsonl.gz,2021-02-01,AS62442,IR
2021020113_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210201/13/IR/urlgetter/2021020113_IR_urlgetter.n0.0.jsonl.gz,2021-02-01,AS62442,IR
2021020114_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210201/14/IR/urlgetter/2021020114_IR_urlgetter.n0.0.jsonl.gz,2021-02-01,AS62442,IR
2021020122_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210201/22/IR/urlgetter/2021020122_IR_urlgetter.n0.0.jsonl.gz,2021-02-01,AS62442,IR
